gender,parental_education_level,extracurricular_participation,part_time_job,diet_quality,exercise_frequency_group,attendance_percentage_group,study_hours_per_day_group,sleep_hours_group,count_of_students,avg_exam_score,avg_exercise_frequency,avg_attendance_percentage,avg_study_hours,avg_sleep_hours
Female,Master,Yes,No,Fair,"> 4",76-86,0-2,5-8,1,56.2,6.00,85,0,8
Female,"High School",No,No,Good,"> 4","> 86","> 6",0-5,1,100,6.00,97.3,6.9,4.6
Male,"High School",No,No,Poor,0-2,"> 86",0-2,5-8,1,34.3,1.00,94.8,1.4,8
Female,Master,Yes,No,Poor,2-4,66-76,0-2,"> 8",1,26.8,4.00,71,1,9.2
Female,Master,No,No,Fair,2-4,"> 86",4-6,0-5,1,66.4,3.00,90.9,5,4.9
Male,Master,No,No,Fair,0-2,76-86,"> 6",5-8,2,98.3,1.00,83.8,6.9,7.65
Female,Master,No,Yes,Good,0-2,76-86,4-6,5-8,2,81.7,1.50,82.85,5.15,6.6
Female,Bachelor,No,Yes,Fair,0-2,76-86,4-6,0-5,1,72.6,0.00,77.7,4.3,4.6
Female,Bachelor,No,No,Good,2-4,"> 86",4-6,5-8,2,89.45,3.50,98.45,5.15,6.25
Female,Bachelor,Yes,No,Good,"> 4","> 86",4-6,5-8,1,100,5.00,95.4,4.8,7.5
Female,None,No,No,Fair,0-2,76-86,4-6,5-8,1,63.3,1.00,77.6,4.6,5.8
Male,Bachelor,No,No,Fair,0-2,66-76,2-4,5-8,3,70.03,1.67,70.57,3.67,7.5
Female,Bachelor,No,Yes,Fair,0-2,76-86,2-4,0-5,1,76.9,1.00,81.1,3.7,4.5
Female,Bachelor,No,No,Fair,2-4,"> 86",2-4,0-5,1,75.8,4.00,89.3,3.4,4.7
Male,Bachelor,No,No,Poor,"> 4","> 86",2-4,5-8,2,76.15,6.00,93.7,3.15,6.4
Male,"High School",No,No,Good,"> 4","> 86",2-4,5-8,1,74,6.00,97.5,3.1,6.5
Male,"High School",Yes,No,Poor,2-4,"> 86",0-2,5-8,1,55.2,3.00,92.9,1,5.6
Female,"High School",Yes,No,Poor,0-2,"> 86",2-4,5-8,3,69.1,0.00,90.13,3.2,7.17
Other,"High School",No,Yes,Good,0-2,"> 86",0-2,5-8,1,43.9,2.00,88.3,2,7.1
Male,"High School",No,No,Fair,0-2,66-76,0-2,5-8,1,45.3,1.00,71.1,1.8,7.5
Female,Master,No,No,Good,2-4,76-86,2-4,5-8,2,65,3.50,81.25,3.45,6.3
Male,"High School",No,No,Fair,0-2,"> 86",4-6,5-8,3,84.3,1.00,95.87,5.47,6.63
Other,"High School",No,No,Fair,2-4,76-86,4-6,5-8,2,86.65,3.00,84.05,4.7,6.65
Female,Bachelor,No,Yes,Fair,"> 4","> 86",0-2,"> 8",1,43.7,6.00,90,1.1,9
Female,Bachelor,No,Yes,Fair,2-4,76-86,0-2,5-8,1,54.9,4.00,81.8,2,5.5
Male,"High School",Yes,No,Fair,0-2,66-76,4-6,"> 8",1,69.9,1.00,74.7,4.9,9
Male,Bachelor,No,No,Good,2-4,76-86,0-2,5-8,2,63.5,4.00,80.7,1.85,6.75
Male,Bachelor,No,Yes,Fair,"> 4","> 86",2-4,0-5,1,71.1,5.00,88.1,3.2,4.8
Male,"High School",Yes,Yes,Good,"> 4",76-86,4-6,"> 8",1,82.8,5.00,78.4,4.3,8.1
Female,"High School",Yes,Yes,Poor,"> 4",76-86,0-2,5-8,1,75.7,6.00,82.6,2,6.7
Female,Master,No,No,Fair,0-2,66-76,2-4,5-8,2,66.9,2.00,72.9,3.35,7.1
Other,Bachelor,Yes,Yes,Fair,2-4,"> 86",0-2,5-8,1,51.3,4.00,96.2,1.5,8
Other,Bachelor,No,No,Good,2-4,76-86,2-4,5-8,1,52.1,3.00,82.1,2.6,6.9
Female,None,No,No,Poor,0-2,"> 86",2-4,5-8,1,70.7,2.00,99.5,4,5.8
Female,"High School",No,No,Fair,0-2,"> 86",0-2,5-8,3,48.07,1.67,95.3,0.87,6.83
Female,Bachelor,No,Yes,Good,0-2,76-86,4-6,5-8,2,67.65,1.50,81.45,4.15,5.8
Female,"High School",No,No,Fair,2-4,66-76,2-4,5-8,1,70.7,3.00,74.9,3.5,7.3
Male,"High School",No,Yes,Good,0-2,0-66,4-6,0-5,1,59.4,0.00,64.1,4.3,3.9
Male,Bachelor,No,No,Poor,0-2,66-76,2-4,5-8,1,58.1,0.00,70.3,3.8,7
Male,"High School",No,No,Good,0-2,66-76,4-6,5-8,1,82.3,1.00,71.3,5.5,5.7
Female,Bachelor,No,No,Good,"> 4","> 86",2-4,"> 8",1,69.7,6.00,98.8,3.7,8.5
Female,Bachelor,No,No,Good,"> 4","> 86",2-4,5-8,2,66.85,5.50,92.4,2.95,6.6
Male,"High School",Yes,No,Fair,2-4,"> 86",2-4,5-8,1,63.5,3.00,88.9,3.7,6.8
Female,Bachelor,No,No,Poor,0-2,0-66,4-6,5-8,1,65.7,0.00,62.8,4.3,7.1
Female,"High School",No,No,Good,2-4,66-76,2-4,5-8,1,78.5,4.00,73,3.6,5.3
Male,Bachelor,Yes,No,Fair,0-2,"> 86",2-4,"> 8",1,75.1,1.00,93.9,3.6,8.4
Male,"High School",Yes,No,Poor,"> 4","> 86",2-4,"> 8",1,71,5.00,87.9,2.4,8.9
Female,None,Yes,No,Good,2-4,76-86,2-4,5-8,1,59.7,4.00,83.5,2.5,7
Female,Bachelor,No,No,Fair,2-4,"> 86",0-2,"> 8",1,52.6,3.00,90.6,1.4,8.4
Female,"High School",No,No,Poor,"> 4","> 86","> 6",5-8,1,96.5,5.00,100,6.1,5.8
Female,Master,Yes,No,Fair,2-4,76-86,0-2,5-8,1,62,4.00,82.8,1.6,5.5
Female,"High School",No,No,Poor,0-2,76-86,2-4,5-8,2,61.15,1.00,81.15,2.35,5.8
Female,"High School",No,No,Fair,"> 4","> 86",2-4,5-8,3,64.73,5.33,88.37,3,6.07
Female,Bachelor,Yes,No,Good,0-2,"> 86",4-6,5-8,3,83.13,0.33,96.23,4.97,5.8
Female,"High School",No,Yes,Fair,"> 4",0-66,2-4,5-8,1,68.1,5.00,64,3.1,7.1
Male,"High School",No,No,Good,0-2,"> 86",4-6,5-8,3,80.53,1.67,89.87,5.27,6.17
Male,Bachelor,No,No,Good,"> 4",76-86,2-4,5-8,2,73.8,5.50,84.75,3.15,5.6
Male,Bachelor,Yes,No,Good,0-2,"> 86",2-4,5-8,1,75.2,1.00,90.7,3.9,7.1
Female,Master,Yes,No,Poor,"> 4",76-86,2-4,5-8,1,46.4,5.00,78.4,2.2,7.5
Female,Master,Yes,No,Good,2-4,76-86,"> 6",5-8,1,97.1,3.00,84.5,6.7,6.7
Female,"High School",No,Yes,Fair,0-2,"> 86",0-2,5-8,1,61.2,1.00,92.1,1.7,7.9
Male,Bachelor,No,No,Fair,2-4,"> 86",2-4,0-5,2,72.95,3.50,95.05,3.5,4.5
Male,"High School",No,Yes,Good,"> 4","> 86",4-6,5-8,1,94.7,6.00,93.1,4.5,7.1
Male,Bachelor,No,Yes,Fair,2-4,76-86,4-6,5-8,1,77.6,3.00,76.5,4.1,5.1
Male,"High School",Yes,No,Good,2-4,76-86,2-4,5-8,1,68.6,3.00,80.8,3.2,5.2
Female,Master,No,No,Poor,0-2,76-86,2-4,5-8,1,69.6,0.00,80.5,3.3,5.7
Male,Bachelor,No,No,Good,2-4,66-76,2-4,5-8,1,66.5,4.00,67,3.6,5.4
Male,Master,No,No,Poor,0-2,76-86,2-4,5-8,2,55.65,1.00,79.1,3.15,5.95
Female,Bachelor,No,Yes,Good,0-2,"> 86",4-6,5-8,1,82.1,0.00,92.3,4.9,6.2
Male,Master,No,No,Poor,"> 4",66-76,"> 6",5-8,1,100,6.00,72.3,6.8,7.5
Female,Bachelor,Yes,No,Poor,0-2,"> 86",2-4,5-8,2,63.7,1.00,97.75,3,6.55
Female,"High School",Yes,No,Fair,0-2,"> 86",0-2,0-5,1,55.1,0.00,89.9,1.4,4.6
Male,"High School",Yes,No,Fair,0-2,76-86,2-4,5-8,3,73.1,1.67,78.17,3.27,6.7
Female,"High School",Yes,No,Fair,2-4,76-86,"> 6",5-8,1,97.7,3.00,83.6,7.4,5.5
Female,None,No,No,Fair,"> 4","> 86",2-4,5-8,1,66.9,6.00,100,2.3,6.4
Female,Bachelor,Yes,Yes,Fair,0-2,"> 86",4-6,5-8,1,99.9,0.00,92.3,6,7
Male,Bachelor,Yes,No,Poor,"> 4",76-86,4-6,5-8,1,100,5.00,85.1,6,6.7
Female,Bachelor,No,No,Fair,0-2,76-86,2-4,5-8,5,64.94,1.20,82.78,2.84,6.78
Female,Master,No,Yes,Good,2-4,76-86,4-6,5-8,1,77.3,4.00,85.8,4.4,7.1
Male,Master,No,Yes,Good,2-4,76-86,4-6,5-8,1,91.6,3.00,79.9,5.9,5.5
Male,"High School",No,No,Good,"> 4",0-66,2-4,"> 8",1,70.7,6.00,64,2.9,9.1
Other,"High School",No,No,Good,"> 4","> 86",2-4,5-8,1,57.6,5.00,100,3.2,6.7
Female,"High School",No,Yes,Fair,"> 4","> 86",2-4,5-8,1,60.2,6.00,86.6,2.6,6.3
Male,"High School",Yes,No,Poor,"> 4","> 86",0-2,5-8,1,50.5,6.00,89,2,7.7
Female,Bachelor,No,No,Fair,"> 4",76-86,2-4,5-8,2,65.15,5.50,82.8,3.25,7.2
Male,Bachelor,No,No,Good,"> 4",76-86,2-4,"> 8",1,79.2,5.00,83.1,3.6,9.5
Male,Master,Yes,No,Fair,0-2,66-76,2-4,5-8,2,51.1,0.50,70,2.65,5.85
Male,"High School",Yes,No,Poor,2-4,66-76,0-2,5-8,1,41.1,4.00,72.7,1.2,6.6
Male,Bachelor,No,No,Fair,"> 4",66-76,2-4,5-8,2,77.8,5.50,74.45,3.95,7.25
Female,"High School",No,No,Fair,"> 4",76-86,4-6,0-5,1,63.4,5.00,80.6,4.8,4.7
Male,"High School",No,Yes,Poor,2-4,"> 86",0-2,0-5,1,43.9,4.00,97.9,0.5,4.1
Male,None,No,No,Good,2-4,76-86,4-6,5-8,1,70.2,4.00,85.1,4.1,5.8
Female,"High School",No,No,Fair,0-2,66-76,4-6,0-5,2,86.05,1.00,69.55,5.55,3.85
Male,"High School",No,No,Good,0-2,"> 86",0-2,5-8,2,49.45,0.00,94.95,1.75,6.35
Female,"High School",No,No,Good,0-2,"> 86",4-6,5-8,2,82.5,0.00,94.15,5.6,7
Male,Bachelor,No,No,Good,"> 4","> 86",4-6,5-8,2,88.55,5.50,92.9,4.55,5.4
Male,Bachelor,Yes,No,Good,2-4,"> 86",2-4,0-5,1,63.9,3.00,92.2,2.4,4.8
Male,"High School",No,No,Good,0-2,"> 86",2-4,5-8,5,64.6,0.80,94.12,3.4,6.4
Male,None,Yes,No,Good,"> 4","> 86",4-6,5-8,1,93.2,5.00,100,4.3,7.5
Male,Bachelor,No,No,Good,"> 4",76-86,2-4,0-5,1,74,6.00,78.1,3.6,4.5
Male,None,No,No,Fair,0-2,"> 86",4-6,5-8,3,75.37,0.33,98.53,4.8,6.67
Male,Master,No,No,Good,2-4,"> 86",2-4,5-8,2,57,4.00,90.5,2.8,6.85
Male,Bachelor,No,No,Good,"> 4","> 86",2-4,5-8,3,77.17,5.67,92.3,3.63,6.47
Male,"High School",Yes,Yes,Good,2-4,66-76,0-2,5-8,1,32.8,4.00,68.1,1.4,8
Male,"High School",Yes,No,Good,"> 4",76-86,2-4,"> 8",1,82.3,6.00,83.3,3.3,9.1
Male,None,No,No,Fair,2-4,76-86,2-4,5-8,1,60.4,4.00,76.9,2.1,6.1
Female,"High School",Yes,No,Poor,2-4,"> 86",2-4,5-8,1,60,4.00,93.3,2.4,6.6
Female,"High School",No,No,Fair,0-2,"> 86",4-6,5-8,4,80.7,1.00,95.25,4.98,6.33
Male,Bachelor,Yes,No,Fair,2-4,0-66,4-6,5-8,1,86.5,3.00,64.3,5.1,6.5
Female,"High School",No,No,Good,0-2,76-86,4-6,"> 8",1,76.9,1.00,84.8,4.4,8.3
Female,Bachelor,Yes,No,Fair,0-2,"> 86",0-2,0-5,1,43.9,1.00,96.2,1.9,4.9
Male,Bachelor,No,No,Fair,0-2,76-86,2-4,5-8,4,59.88,0.50,80.65,2.92,6.8
Female,"High School",No,No,Fair,0-2,"> 86",4-6,"> 8",1,83.3,2.00,92.3,5.3,8.2
Female,None,No,No,Poor,"> 4","> 86",2-4,5-8,2,73.85,5.00,89.8,3.1,7.65
Male,None,Yes,No,Good,"> 4","> 86","> 6",5-8,1,94.8,5.00,88.4,7,6.1
Male,None,No,No,Good,0-2,76-86,4-6,5-8,1,80.8,1.00,82.3,4.1,7.5
Female,Bachelor,Yes,No,Poor,2-4,66-76,2-4,5-8,1,58.3,3.00,72.8,3.8,6.9
Female,"High School",No,Yes,Fair,2-4,66-76,2-4,"> 8",1,66.3,4.00,73.8,3,8.3
Male,Bachelor,No,No,Fair,"> 4","> 86",2-4,5-8,1,87.9,6.00,92.1,3.7,6.6
Male,"High School",No,No,Poor,0-2,76-86,2-4,5-8,1,60.5,0.00,85.2,3.3,7.7
Male,"High School",No,No,Poor,2-4,76-86,4-6,"> 8",1,84.8,3.00,83.6,4.6,9.7
Female,Bachelor,No,No,Good,0-2,76-86,4-6,5-8,3,79.4,0.67,81.63,4.83,6.77
Male,"High School",No,No,Fair,0-2,"> 86",0-2,5-8,3,40.43,0.33,90.3,1.3,6.67
Male,"High School",No,Yes,Poor,0-2,76-86,0-2,5-8,1,42.4,1.00,81.6,0.7,6.1
Female,Bachelor,No,No,Good,"> 4",66-76,4-6,"> 8",2,87.75,5.00,71.3,4.3,8.95
Male,"High School",Yes,No,Good,0-2,76-86,0-2,5-8,1,26.8,1.00,83,0.3,6.2
Female,Bachelor,No,No,Poor,"> 4",76-86,4-6,5-8,1,81.6,5.00,85.3,4.1,5.5
Female,"High School",No,No,Good,"> 4","> 86","> 6",5-8,1,100,6.00,100,7.2,7.8
Female,Bachelor,Yes,Yes,Fair,"> 4",76-86,2-4,5-8,1,74,5.00,84.8,3.5,7.5
Female,Bachelor,Yes,No,Fair,2-4,"> 86",4-6,5-8,2,74.7,4.00,88.25,5.05,5.8
Male,Bachelor,No,No,Fair,2-4,76-86,2-4,0-5,1,74.3,4.00,82.8,3.4,4.7
Female,Bachelor,No,No,Good,0-2,"> 86",4-6,5-8,2,71.25,1.50,90.25,4.6,6.9
Male,Bachelor,No,No,Good,"> 4",66-76,2-4,5-8,2,68.6,6.00,68.45,2.7,6.1
Male,Master,No,No,Fair,2-4,"> 86",2-4,"> 8",1,64.1,3.00,87,3.9,8.5
Male,"High School",No,No,Good,"> 4",76-86,2-4,5-8,2,79.5,6.00,84.15,3.85,5.7
Male,"High School",No,No,Good,"> 4",76-86,2-4,0-5,1,63.4,6.00,85.4,2.5,5
Male,Bachelor,Yes,No,Fair,2-4,"> 86",2-4,0-5,1,65.4,4.00,88.3,3.2,4.9
Male,None,No,No,Fair,2-4,"> 86",2-4,"> 8",1,62,3.00,99.8,2.4,8.1
Male,Master,Yes,No,Fair,"> 4",66-76,4-6,"> 8",1,74,5.00,75.1,4.3,8.4
Female,None,No,No,Good,0-2,"> 86",2-4,5-8,1,46.7,1.00,86.4,2.2,6.9
Female,Bachelor,No,No,Poor,0-2,76-86,2-4,5-8,2,66.55,1.00,84.15,2.85,6.55
Female,Bachelor,Yes,No,Fair,2-4,66-76,2-4,5-8,2,77.1,3.00,74.7,3.55,6.35
Female,Master,No,No,Fair,0-2,"> 86",4-6,5-8,2,75.2,1.00,90.85,4.7,7.15
Female,None,No,Yes,Fair,2-4,"> 86",4-6,5-8,1,75.4,3.00,100,4.2,6.1
Male,Bachelor,No,Yes,Good,2-4,76-86,2-4,5-8,1,64.2,4.00,84.8,3.5,6.1
Female,"High School",No,No,Good,0-2,"> 86",4-6,0-5,1,69.7,1.00,90.1,4.7,4.6
Female,"High School",No,No,Good,2-4,76-86,4-6,5-8,3,83.3,3.67,82.17,5.03,6.03
Female,None,No,No,Good,0-2,76-86,4-6,5-8,1,81.4,0.00,77.9,4.3,6.5
Male,"High School",No,No,Fair,2-4,76-86,0-2,5-8,2,54.55,3.50,80.95,1.7,5.85
Male,"High School",No,Yes,Fair,0-2,66-76,0-2,5-8,1,57.7,0.00,71.1,1.9,6.3
Male,Bachelor,No,No,Poor,2-4,"> 86",2-4,5-8,1,56.7,4.00,100,3,5.5
Female,Bachelor,Yes,No,Fair,2-4,76-86,2-4,5-8,1,62.3,4.00,83.8,2.6,6.6
Female,Bachelor,No,No,Good,2-4,76-86,2-4,5-8,2,65.55,3.50,79.9,2.9,7.15
Male,Master,No,No,Fair,0-2,"> 86",2-4,5-8,1,65.2,0.00,93.9,3.6,5.1
Other,"High School",No,No,Good,"> 4",66-76,4-6,5-8,1,76.8,6.00,73.8,4.3,6.6
Female,Master,No,No,Fair,"> 4",76-86,2-4,5-8,2,74.75,5.50,81.05,3.25,7.15
Male,Master,No,No,Poor,0-2,76-86,4-6,5-8,1,70.6,2.00,85.7,4.2,5.6
Male,"High School",Yes,No,Poor,2-4,"> 86",2-4,5-8,2,63.4,3.50,97.65,3.2,5.6
Male,"High School",No,No,Fair,2-4,"> 86",0-2,5-8,2,50.35,3.50,90.7,1.2,6.2
Male,"High School",No,No,Fair,0-2,"> 86",2-4,5-8,3,55.5,1.00,91.37,2.43,6
Male,"High School",No,Yes,Poor,0-2,76-86,2-4,5-8,1,72.2,0.00,85.8,3.3,6.9
Male,Bachelor,Yes,No,Fair,"> 4","> 86",0-2,5-8,1,50.1,5.00,89,1.7,5.4
Male,Bachelor,No,Yes,Fair,0-2,"> 86",4-6,5-8,2,66.05,1.00,93.5,4.9,7.7
Male,Bachelor,No,No,Fair,0-2,66-76,4-6,"> 8",1,96.6,1.00,74.7,5.8,9.3
Female,Bachelor,Yes,No,Good,0-2,76-86,4-6,5-8,3,77.97,0.00,83,4.8,6.23
Male,"High School",No,No,Good,"> 4",66-76,2-4,5-8,1,68.3,5.00,74.3,3.2,7.1
Female,Master,Yes,No,Fair,2-4,76-86,4-6,5-8,1,83.8,3.00,85.8,5.7,5.6
Male,"High School",No,Yes,Good,"> 4",76-86,2-4,5-8,1,69.3,5.00,80.2,3.7,7.7
Other,Master,No,No,Good,2-4,"> 86",2-4,0-5,1,65.3,3.00,100,3,5
Male,"High School",Yes,No,Good,"> 4",76-86,2-4,5-8,1,77.5,6.00,84.6,2.6,7.1
Other,None,No,Yes,Poor,"> 4",76-86,2-4,5-8,1,65.2,5.00,83.7,2.9,6.3
Female,"High School",No,No,Good,0-2,"> 86",2-4,5-8,4,68.12,0.75,91.3,3.27,7.08
Female,None,No,Yes,Fair,"> 4","> 86",2-4,5-8,1,69.2,5.00,100,3.7,7.5
Male,Bachelor,No,Yes,Good,0-2,76-86,2-4,5-8,1,67.4,0.00,79.1,3.5,5.5
Male,Master,No,No,Good,0-2,66-76,4-6,5-8,1,79.9,1.00,69.2,4.2,7.2
Female,"High School",Yes,No,Fair,0-2,"> 86",4-6,5-8,2,89.65,1.50,96.6,5.6,6.2
Female,Master,No,No,Fair,"> 4",66-76,4-6,5-8,1,96.2,5.00,71.2,4.9,6.4
Female,Bachelor,No,Yes,Fair,"> 4",76-86,0-2,5-8,1,40.4,5.00,80.6,1.3,6.7
Female,Bachelor,No,No,Fair,2-4,76-86,0-2,5-8,1,55.2,3.00,82.4,0,5.6
Male,Bachelor,No,No,Fair,0-2,76-86,4-6,5-8,2,83.05,0.50,83.5,5.15,6.5
Female,"High School",Yes,No,Fair,2-4,"> 86",0-2,"> 8",1,46.5,3.00,91.9,1.4,8.3
Male,Master,No,No,Poor,"> 4",76-86,0-2,5-8,1,55.4,6.00,82.3,1.7,7.9
Male,Master,No,No,Good,0-2,76-86,0-2,"> 8",1,45.1,1.00,84.9,0.8,8.3
Female,Master,No,No,Poor,2-4,"> 86",4-6,5-8,1,69.4,4.00,86.5,4.3,5.5
Male,Master,No,No,Good,2-4,76-86,4-6,0-5,1,81.3,4.00,86,4.6,4.8
Female,Bachelor,No,No,Fair,0-2,"> 86",0-2,5-8,2,35.2,0.00,91.25,0.75,6.85
Male,"High School",No,No,Good,2-4,"> 86",2-4,"> 8",1,64.5,4.00,88.9,2.7,8.7
Female,Master,Yes,No,Fair,0-2,"> 86",4-6,5-8,2,90.5,1.00,89.05,4.15,5.95
Male,"High School",Yes,Yes,Good,0-2,66-76,0-2,5-8,1,42.2,1.00,69.2,1.3,5.5
Female,Bachelor,No,No,Fair,0-2,"> 86",2-4,5-8,4,65.15,1.25,96.2,3.2,7.23
Male,"High School",No,No,Fair,2-4,"> 86",4-6,5-8,4,90.12,3.50,93.25,4.68,6.27
Male,None,No,No,Fair,0-2,76-86,2-4,5-8,2,76.05,1.00,78.7,3.55,6.85
Male,Master,No,No,Fair,"> 4",76-86,0-2,5-8,1,58.5,6.00,78.4,2,7.6
Male,Bachelor,Yes,No,Fair,0-2,76-86,4-6,5-8,1,78.4,0.00,79.3,5.3,5.9
Other,"High School",No,No,Fair,0-2,"> 86",2-4,5-8,1,56.4,0.00,90.4,3.3,6.4
Male,Bachelor,Yes,No,Poor,"> 4","> 86",2-4,5-8,1,92.6,6.00,95.3,3.5,6.5
Female,Bachelor,Yes,No,Poor,2-4,76-86,2-4,5-8,2,59.9,3.00,81.95,2.65,6.8
Male,"High School",No,Yes,Fair,2-4,"> 86",2-4,5-8,1,75.8,3.00,94.1,2.8,7.2
Female,Master,No,Yes,Poor,0-2,76-86,2-4,5-8,1,66.3,0.00,83.8,3.2,6.6
